"","year","pub.site","site","ppq","DEM","year.site.ppq","vrm.range","pro.range","plan.range"
"284","2016a","VH2",32,1,8,"2016a.32.1",0.303296086,8975.308105,10198.876953
"285","2016a","VH2",32,2,8,"2016a.32.2",0.227297779,5456.775391,5375.767334
"286","2016a","VH2",32,3,8,"2016a.32.3",0.229393024,5722.104981,3950.695923
"287","2016a","VH3",30,1,8,"2016a.30.1",0.369295128,11861.999023,13793.71582
"288","2016a","VH3",30,2,8,"2016a.30.2",0.271936992,10480.999512,5558.603516
"289","2016a","VH3",30,3,8,"2016a.30.3",0.295815151,9867.403808,6463.23999
"290","2016a","M1",8,1,8,"2016a.8.1",0.272549401,5729.865235,5212.719971
"291","2016a","M1",8,2,8,"2016a.8.2",0.289215435,6317.039063,8638.273437
"292","2016a","M1",8,3,8,"2016a.8.3",0.334653493,8169.267334,6600.07251
"293","2016a","M2",35,1,8,"2016a.35.1",0.220744971,7105.875,6223.982422
"294","2016a","M2",35,2,8,"2016a.35.2",0.273536761,8499.541015,7368.683106
"295","2016a","M3",34,1,8,"2016a.34.1",0.370721933,7548.056396,6457.873047
"296","2016a","M3",34,2,8,"2016a.34.2",0.327639414,8105.554687,5785.904297
"297","2016a","M3",34,3,8,"2016a.34.3",0.258131756,13698.470703,7339.354981
"298","2016a","VL1",15,1,8,"2016a.15.1",0.338337483,15194.78418,9225.454345
"299","2016a","VL3",5,1,8,"2016a.5.1",0.402681432,13187.662109,14154.436035
"300","2016a","VL3",5,2,8,"2016a.5.2",0.338561694,11064.518554,11428.846192
"301","2016a","VL3",5,3,8,"2016a.5.3",0.346453257,11029.351074,11005.6167
"302","2016b","VH1",27,1,8,"2016b.27.1",0.21644538,7486.813477,6766.333496
"303","2016b","VH1",27,2,8,"2016b.27.2",0.173183017,4599.900879,5053.991943
"304","2016b","VH1",27,3,8,"2016b.27.3",0.255729935,6282.770996,5255.907349
"305","2016b","VH2",32,1,8,"2016b.32.1",0.303407363,7959.595703,7478.997559
"306","2016b","VH2",32,2,8,"2016b.32.2",0.191870123,6581.661621,4650.759766
"307","2016b","VH2",32,3,8,"2016b.32.3",0.251901266,4897.412598,4116.630493
"308","2016b","VH3",30,1,8,"2016b.30.1",0.430211465,17715.84668,14258.479004
"309","2016b","VH3",30,2,8,"2016b.30.2",0.302288429,9646.412597,8024.717041
"310","2016b","VH3",30,3,8,"2016b.30.3",0.323576433,9394.640136,7053.56543
"311","2016b","M1",8,1,8,"2016b.8.1",0.311051844,6487.44873,10014.774902
"312","2016b","M1",8,2,8,"2016b.8.2",0.259369067,8130.392334,6503.874512
"313","2016b","M1",8,3,8,"2016b.8.3",0.334423788,8995.594727,6526.375
"314","2016b","M2",35,1,8,"2016b.35.1",0.220377204,5095.682861,5189.310547
"315","2016b","M2",35,2,8,"2016b.35.2",0.254081919,7719.523926,6926.309082
"316","2016b","M2",35,3,8,"2016b.35.3",0.257040364,12511.306641,8160.552978
"317","2016b","M3",34,1,8,"2016b.34.1",0.371670126,9603.671875,7761.71875
"318","2016b","M3",34,2,8,"2016b.34.2",0.285760104,6059.615478,5851.616455
"319","2016b","M3",34,3,8,"2016b.34.3",0.223815379,6504.647217,5247.044678
"320","2016b","VL1",15,1,8,"2016b.15.1",0.347287236,16165.826172,9879.413086
"321","2016b","VL1",15,2,8,"2016b.15.2",0.424203369,14010.531739,12712.011719
"322","2016b","VL1",15,3,8,"2016b.15.3",0.373100936,12857.584473,11006.51416
"323","2016b","VL3",19,1,8,"2016b.19.1",0.318482635,6366.029786,6193.206055
"324","2016b","VL3",19,2,8,"2016b.19.2",0.310897669,6733.629394,6758.449951
