"","year","pub.site","site","ppq","hum_dist","hdist.cont","sqrt.hdist.cont","island.side","region.3","DEM","year.site.ppq","area_2d","area_3d","rug","vrm","vrm.range","curv","pro.curv","pro.range.log","plan.curv","plan.range.log"
"197","2016b","VL3","19",2,"Very Low",0,0,"Windward","Windward",4,"2016b.19.2",16.00523,22.49624,1.40556,0.06991,0.430672977,-3.84404,84.96325,10.371495692116,81.11921,10.2133121856652
"198","2016b","VL3","5",1,"Very Low",0,0,"Leeward","South Shore",4,"2016b.5.1",16.00811,26.29244,1.64244,0.08778,0.559417728,-2.53925,55.86532,10.5878355377247,53.32607,10.720463216818
"199","2016b","VL3","5",2,"Very Low",0,0,"Leeward","South Shore",4,"2016b.5.2",16.02397,22.61433,1.41128,0.05887,0.484142601,-1.51877,3.93167,10.2906843654983,2.41291,10.3413942312216
"200","2016b","VL3","5",3,"Very Low",0,0,"Leeward","South Shore",4,"2016b.5.3",16.01407,23.46195,1.46508,0.07171,0.465165346,7.05823,33.47754,10.7160212567005,40.53578,10.6146679304328
"201","2017","VH1","27",1,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2017.27.1",15.99916,19.91909,1.24501,0.04598,0.337770012,3.18772,95.3302,10.4326829071983,98.51792,10.1838705539623
"202","2017","VH1","27",2,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2017.27.2",16.00492,19.72693,1.23255,0.0441,0.399893885,-10.81981,127.4598,10.2408587292753,116.63999,10.0658175115301
"203","2017","VH1","27",3,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2017.27.3",16.00605,18.22267,1.13849,0.0325,0.472588546,-1.75374,148.55882,10.5421380195516,146.80508,10.5007043585607
"204","2017","VH2","32",1,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2017.32.1",16.011,21.74698,1.35825,0.05749,0.361405932,13.56684,102.05312,10.6052325774744,115.61996,10.2246824805936
"205","2017","VH2","32",2,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2017.32.2",16.01346,19.79297,1.23602,0.04989,0.38919882,3.73814,119.47637,9.96706021425663,123.21451,9.68714194872976
"206","2017","VH2","32",3,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2017.32.3",16.00488,19.49946,1.21835,0.04612,0.333253126,3.3121,94.96504,10.0582996068927,98.27713,9.80480084373831
"207","2017","VH3","30",1,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2017.30.1",16.00278,26.85376,1.67807,0.06709,0.583562943,16.99038,59.14376,10.9743274673389,76.13414,10.6985303810265
"208","2017","VH3","30",2,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2017.30.2",16.00015,23.27961,1.45496,0.07424,0.426089638,-4.33843,161.35702,10.6616962802442,157.01858,10.4438413916681
"209","2017","VH3","30",3,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2017.30.3",16.01308,23.0648,1.44037,0.06961,0.446282381,8.65576,117.31763,10.7256968883219,125.97339,10.4535175039365
"210","2017","M1","8",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2017.8.1",16.00906,23.03971,1.43917,0.06773,0.421789952,21.58474,46.10992,10.3299292818732,67.69465,10.284464836675
"211","2017","M1","8",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2017.8.2",16.00633,22.92801,1.43243,0.05422,0.58290449,20.58844,-14.72904,10.6981644342447,5.8594,10.3555571853446
"212","2017","M1","8",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2017.8.3",16.01648,21.64992,1.35173,0.05264,0.522282378,2.67457,67.67158,10.7058540779117,70.34615,10.1446249959787
"213","2017","M2","35",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2017.35.1",16.00533,21.59633,1.34932,0.06085,0.377226781,17.06246,75.45459,10.2174989383063,92.51705,10.0042337033688
"214","2017","M2","35",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2017.35.2",16.00509,22.9289,1.4326,0.06797,0.372720585,11.07025,109.22905,10.4645527638355,120.29929,10.8231429691047
"215","2017","M2","35",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2017.35.3",16.00465,23.59294,1.47413,0.06824,0.479194585,27.40505,39.16386,10.4788292057493,66.5689,10.2202704285534
