KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
05_07_2015,10,SC,3,,Pterocaesio tile,13,60,,16:00,33,3,
05_07_2015,10,SC,3,,Monotaxis grandoculis,25,1,,16:00,33,3,
05_07_2015,10,SC,3,,Centropyge loricula,6,1,,16:00,33,3,
05_07_2015,10,SC,3,,Chromis margaritifer,4,47,,16:00,33,3,
05_07_2015,10,SC,3,,Chromis margaritifer,3,55,,16:00,33,3,
05_07_2015,10,SC,3,,Chromis margaritifer,5,28,,16:00,33,3,
05_07_2015,10,SC,3,,Chromis margaritifer,2,7,,16:00,33,3,
05_07_2015,10,SC,3,,Plectroglyphidodon dickii,8,2,,16:00,33,3,
05_07_2015,10,SC,3,,Plectroglyphidodon dickii,6,4,,16:00,33,3,
05_07_2015,10,SC,3,,Plectroglyphidodon johnstonianus,5,6,,16:00,33,3,
05_07_2015,10,SC,3,,Plectroglyphidodon johnstonianus,4,2,,16:00,33,3,
05_07_2015,10,SC,3,,Stegastes aureus,6,1,,16:00,33,3,
05_07_2015,10,SC,3,,Bodianus axillaris,16,1,,16:00,33,3,
05_07_2015,10,SC,3,,Gomphosus varius,6,2,,16:00,33,3,
05_07_2015,10,SC,3,,Labroides bicolor,6,2,,16:00,33,3,
05_07_2015,10,SC,3,,Labroides bicolor,4,1,,16:00,33,3,
05_07_2015,10,SC,3,,Labroides dimidiatus,7,1,,16:00,33,3,
05_07_2015,10,SC,3,,Labroides dimidiatus,9,1,,16:00,33,3,
05_07_2015,10,SC,3,,Labroides rubrolabiatus,7,1,,16:00,33,3,
05_07_2015,10,SC,3,,Oxycheilinus unifasciatus,10,1,,16:00,33,3,
05_07_2015,10,SC,3,,Pseudocheilinus hexataenia,5,1,,16:00,33,3,
05_07_2015,10,SC,3,,Chlorurus sordidus,20,1,IP,16:00,33,3,
05_07_2015,10,SC,3,,Chlorurus sordidus,23,1,IP,16:00,33,3,
05_07_2015,10,SC,3,,Chlorurus sordidus,28,1,TP,16:00,33,3,
05_07_2015,10,SC,3,,Scarus tricolor,28,1,TP,16:00,33,3,
05_07_2015,10,SC,3,,Ctenochaetus marginatus,12,7,,16:00,33,3,
05_07_2015,10,SC,3,,Ctenochaetus marginatus,10,4,,16:00,33,3,
05_07_2015,10,SC,3,,Balistapus undulatus,13,1,,16:00,33,3,
05_07_2015,10,SC,3,,Parupeneus insularis,23,1,,16:00,33,3,
06_07_2015,19,SC,1,,Paracirrhites arcatus,8,3,,10:15,33,2,
06_07_2015,19,SC,1,,Paracirrhites hemistictus,18,1,,10:15,33,2,
06_07_2015,19,SC,1,,Aphareus furca,22,6,,10:15,33,2,
06_07_2015,19,SC,1,,Chaetodon trifascialis,7,1,,10:15,33,2,
06_07_2015,19,SC,1,,Chromis margaritifer,3,68,,10:15,33,2,
06_07_2015,19,SC,1,,Chromis margaritifer,2,5,,10:15,33,2,
06_07_2015,19,SC,1,,Chromis margaritifer,4,25,,10:15,33,2,
06_07_2015,19,SC,1,,Plectroglyphidodon dickii,3,2,,10:15,33,2,
06_07_2015,19,SC,1,,Plectroglyphidodon dickii,5,2,,10:15,33,2,
06_07_2015,19,SC,1,,Plectroglyphidodon dickii,8,17,,10:15,33,2,
06_07_2015,19,SC,1,,Plectroglyphidodon dickii,6,4,,10:15,33,2,
06_07_2015,19,SC,1,,Plectroglyphidodon johnstonianus,5,3,,10:15,33,2,
06_07_2015,19,SC,1,,Plectroglyphidodon johnstonianus,2,1,,10:15,33,2,
06_07_2015,19,SC,1,,Stegastes aureus,6,2,,10:15,33,2,
06_07_2015,19,SC,1,,Stegastes fasciolatus,7,18,,10:15,33,2,
06_07_2015,19,SC,1,,Coris aygula,40,1,TP,10:15,33,2,
06_07_2015,19,SC,1,,Gomphosus varius,20,1,TP,10:15,33,2,
06_07_2015,19,SC,1,,Gomphosus varius,3,4,juv,10:15,33,2,
06_07_2015,19,SC,1,,Gomphosus varius,6,4,IP,10:15,33,2,
06_07_2015,19,SC,1,,Labroides dimidiatus,8,1,,10:15,33,2,
06_07_2015,19,SC,1,,Labroides rubrolabiatus,8,2,,10:15,33,2,
06_07_2015,19,SC,1,,Pseudocheilinus hexataenia,3,3,,10:15,33,2,
06_07_2015,19,SC,1,,Acanthurus lineatus,20,1,,10:15,33,2,
06_07_2015,19,SC,1,,Zebrasoma veliferum,22,2,,10:15,33,2,
06_07_2015,19,SC,2,,Cephalopholis urodeta,18,1,,10:30,33,2,
06_07_2015,19,SC,2,,Paracirrhites arcatus,10,1,,10:30,33,2,
06_07_2015,19,SC,2,,Paracirrhites arcatus,8,1,,10:30,33,2,
06_07_2015,19,SC,2,,Paracirrhites arcatus,5,1,,10:30,33,2,
06_07_2015,19,SC,2,,Lutjanus bohar,40,1,,10:30,33,2,
06_07_2015,19,SC,2,,Lutjanus bohar,18,1,,10:30,33,2,
06_07_2015,19,SC,2,,Aphareus furca,22,6,,10:30,33,2,
06_07_2015,19,SC,2,,Chaetodon ephippium,14,2,,10:30,33,2,
06_07_2015,19,SC,2,,Chromis margaritifer,5,5,,10:30,33,2,
06_07_2015,19,SC,2,,Chromis margaritifer,4,17,,10:30,33,2,
06_07_2015,19,SC,2,,Chromis margaritifer,3,13,,10:30,33,2,
06_07_2015,19,SC,2,,Chromis vanderbilti,4,43,,10:30,33,2,
06_07_2015,19,SC,2,,Chromis vanderbilti,2,10,,10:30,33,2,
06_07_2015,19,SC,2,,Chromis vanderbilti,3,20,,10:30,33,2,
06_07_2015,19,SC,2,,Plectroglyphidodon dickii,8,16,,10:30,33,2,
06_07_2015,19,SC,2,,Plectroglyphidodon dickii,7,12,,10:30,33,2,
06_07_2015,19,SC,2,,Plectroglyphidodon dickii,6,5,,10:30,33,2,
