KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note,,KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
2019-07-19,25,SD,1,,Pseudanthias dispar,7,12,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Pseudanthias dispar,5,54,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Pseudanthias olivaceus,8,9,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Paracirrhites hemistictus,20,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Centropyge flavissima,5,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Chromis margaritifer,5,28,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Chromis margaritifer,2,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Chromis vanderbilti,5,42,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Chromis vanderbilti,3,3,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Plectroglyphidodon dickii,5,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Stegastes aureus,10,4,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Coris gaimard,22,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Halichoeres ornatissimus,11,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Labroides dimidiatus,8,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Macropharyngodon meleagris,4,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Oxycheilinus unifasciatus,25,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Pseudocheilinus octotaenia,4,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Pseudocheilinus tetrataenia,8,2,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Thalassoma amblycephalum,3,10,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Thalassoma quinquevittatum,10,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Scarus frenatus,30,1,TP,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Scarus tricolor,26,1,IP,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Scarus oviceps,23,1,IP,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Acanthurus nigricans,16,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Acanthurus olivaceus,14,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Ctenochaetus flavicauda,5,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Ctenochaetus marginatus,22,2,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Ctenochaetus marginatus,18,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Melichthys niger,20,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Parupeneus insularis,21,1,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Parupeneus insularis,28,1,,1533,9.9,2,,,,,,,,,,,,,,,
