KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
 06_07_2015,19,SD,2,,Chromis margaritifer,6,2,,10:24,37,2,
 06_07_2015,19,SD,2,,Chromis margaritifer,4,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Chromis margaritifer,3,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Chromis margaritifer,2,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Chromis vanderbilti,5,15,,10:24,37,2,
 06_07_2015,19,SD,2,,Chromis vanderbilti,3,8,,10:24,37,2,
 06_07_2015,19,SD,2,,Chromis vanderbilti,4,15,,10:24,37,2,
 06_07_2015,19,SD,2,,Plectroglyphidodon dickii,9,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Plectroglyphidodon dickii,10,5,,10:24,37,2,
 06_07_2015,19,SD,2,,Plectroglyphidodon dickii,6,3,,10:24,37,2,
 06_07_2015,19,SD,2,,Plectroglyphidodon dickii,4,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Plectroglyphidodon johnstonianus,6,2,,10:24,37,2,
 06_07_2015,19,SD,2,,Plectroglyphidodon johnstonianus,9,4,,10:24,37,2,
 06_07_2015,19,SD,2,,Plectroglyphidodon johnstonianus,7,2,,10:24,37,2,
 06_07_2015,19,SD,2,,Gomphosus varius,3,1,Juv.,10:24,37,2,
 06_07_2015,19,SD,2,,Pseudocheilinus hexataenia,5,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Acanthurus lineatus,23,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Acanthurus lineatus,21,1,,10:24,37,2,
 06_07_2015,19,SD,3,,Paracirrhites arcatus,7,1,,10:45,37,2,
 06_07_2015,19,SD,3,,Chromis margaritifer,5,6,,10:45,37,2,
 06_07_2015,19,SD,3,,Chromis margaritifer,2,3,,10:45,37,2,
 06_07_2015,19,SD,3,,Chromis margaritifer,7,2,,10:45,37,2,
 06_07_2015,19,SD,3,,Chromis margaritifer,3,2,,10:45,37,2,
